step,time,U1_A,U1_B,U1_C,I1_A,I1_B,I1_C,abs(U1_A),abs(U1_B),abs(U1_C),abs(I1_A),abs(I1_B),abs(I1_C),abs(3U0),abs(3I0),ovcp(1),ovcp(2),zccp(1),zccp(1)
149,0.03725,-64.9448,98.3255,-33.3807,-0.215256,0.498459,0.498459,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
150,0.0375,-70.7107,96.5926,-25.8819,-0.25,0.5,0.5,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
151,0.03775,-76.0406,94.2641,-18.2236,-0.283203,0.498459,0.498459,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
152,0.038,-80.9017,91.3545,-10.4528,-0.31466,0.493844,0.493844,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
153,0.03825,-85.264,87.8817,-2.61769,-0.344177,0.486185,0.486185,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
154,0.0385,-89.1007,83.8671,5.2336,-0.371572,0.475528,0.475528,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
155,0.03875,-92.388,79.3353,13.0526,-0.396677,0.46194,0.46194,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
156,0.039,-95.1057,74.3145,20.7912,-0.419335,0.445503,0.445503,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
157,0.03925,-97.237,68.8355,28.4015,-0.439409,0.42632,0.42632,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
158,0.0395,-98.7688,62.932,35.8368,-0.456773,0.404508,0.404508,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
159,0.03975,-99.6917,56.6406,43.0511,-0.471321,0.380203,0.380203,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
160,0.04,-100,50,50,-0.482963,0.353553,0.353553,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
161,0.04025,-99.6917,43.0511,56.6406,-0.491627,0.324724,0.324724,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
162,0.0405,-98.7688,35.8368,62.932,-0.497261,0.293893,0.293893,100,100,100,0.5,0.5,0.5,1.13002e-05,1.7572e-07,0,0,0,0
